city,case,cure,death,lat,lon
Changsha,8,0,0,28.322759,113.224946
Yueyang,5,0,0,29.178499,113.237527
Huaihua,5,0,0,27.612024,109.945539
Loudi,5,0,0,27.766945,112.004619
Yongzhou,4,0,0,26.560382,111.621586
Yiyang,4,0,0,28.588088,112.366547
Hengyang,3,0,0,27.109626,112.351579
Changde,3,0,0,28.995243,111.747796
Xiangtan,2,0,0,27.669223,112.788805
Shaoyang,2,0,0,26.984977,111.332372
Zhuzhou,1,0,0,27.535936,113.153348
Chenzhou,1,0,0,25.773515,113.051002
Wuhan,618,40,45,30.581084,114.3162
Huanggang,122,2,2,30.518802,114.949569
Xiaogan,55,0,0,30.944617,114.016142
Xianning,43,0,0,29.85465,114.391867
Jingmen,38,0,1,30.932878,112.193923
Suizhou,36,0,0,31.890024,113.294246
Jingzhou,33,0,2,30.396103,112.099857
Huangshi,31,0,1,30.218698,114.903009
Yichang,20,0,1,30.979971,111.310649
Shiyan,20,0,0,32.66384,110.717401
Enshi,17,0,0,32,109.5
Xiantao,11,0,0,30.293966,113.387448
Tianmen,5,0,0,30.649047,113.12623
Xiangyang,3,0,0,32.229169,112.250093
Ezhou,1,0,0,30.320603,114.901016
Xinyang,21,0,0,32.30784,114.139086
Zhengzhou,18,0,0,34.759791,112.777102
Nanyang,15,0,1,33.009839,112.484267
Zhumadian,7,0,0,32.968357,114.00829
Zhoukou,5,0,0,33.630876,114.65795
Xinxiang,3,0,0,35.220522,113.848246
Anyang,3,0,0,36.056025,114.256604
Luohe,3,0,0,33.534755,113.923601
Sanmenxia,2,0,0,34.771778,111.281295
Gongyi,2,0,0,34.703799,113.03959
Pingdingshan,2,0,0,33.712341,113.278189
Luoyang,1,0,0,34.638792,112.467093
Gushi,1,0,0,32.136944,115.709743
Shenzhen,20,2,0,22.606981,114.278483
Guangzhou,14,0,0,23.446661,113.220176
Zhuhai,10,0,0,22.047215,113.41759
Foshan,9,0,0,22.824523,112.683258
Huizhou,7,0,0,23.163063,114.485898
Yangjiang,5,0,0,21.762804,111.930036
Shaoguan,3,0,0,24.919162,113.57745
Zhanjiang,2,0,0,21.0941,110.338022
Zhongshan,2,0,0,22.545178,113.42206
Zhaoqing,2,0,0,23.208968,112.625249
Qingyuan,2,0,0,23.625856,113.114585
Dongguan,1,0,0,23.043024,113.763434
Shantou,1,0,0,23.532997,116.814808
Taizhou,20,1,0,28.548659,121.450242
Hangzhou,12,0,0,30.38812,119.998089
Wenzhou,10,0,0,27.972177,120.558404
Ningbo,6,0,0,29.785459,121.537835
Jiaxing,4,0,0,30.777679,120.691907
Shaoxing,4,0,0,29.968789,120.572451
Zhoushan,2,0,0,29.871101,122.278765
Jinhua,2,0,0,29.155526,119.809227
Quzhou,2,0,0,28.941983,118.939044
Wanzhou,10,0,0,30.710054,108.413439
Changshou,5,0,0,29.960491,107.146615
Kaizhou,4,0,0,31.2,108.4
Yongchuan,3,0,0,29.296488,105.880358
Zhongxian,3,0,0,30.342003,107.921738
Wushan,3,0,0,31.121152,109.908611
Shizhu,3,0,0,29.9,108
Chongqing,8,0,0,29.59,106.54
Yubei,2,0,0,29.816264,106.753799
Dianjiang,2,0,0,30.259498,107.444445
Yunyang,2,0,0,31.042409,108.863186
Wuxi,2,0,0,31.509161,109.360531
Hechuan,2,0,0,30.118708,106.318029
Bishan,2,0,0,29.5,106.17
Fuling,1,0,0,29.664671,107.3408
Fengjie,1,0,0,30.958553,109.355667
Xiushan,1,0,0,28.38,109.06
Liangping,1,0,0,30.65,107.8
Chengkou,1,0,0,31.888131,108.741855
Fengdu,1,0,0,29.890596,107.837517
Beijing,39,0,0,39.92,116.46
Changping,5,0,0,40.221724,116.216456
Tongzhou,4,0,0,32.081032,121.028859
Daxing,2,2,0,39.73,116.33
Shunyi,1,0,0,40.154951,116.728229
Shanghai,40,0,0,31.2,121.560642
Linyi,7,0,0,35.127031,118.517311
Tsingtao,6,0,0,36.284247,120.346326
Weihai,4,0,0,37.399344,122.152075
Rizhao,4,0,0,35.469377,119.377852
Jining,4,0,0,35.380135,116.572199
Jinan,3,0,0,36.42857,116.803552
Dezhou,3,0,0,37.457437,116.332912
Weifang,2,0,0,36.691227,119.196972
Yantai,2,0,0,37.407476,121.451535
Liaocheng,1,0,0,36.45583,115.907706
Binzhou,1,0,0,37.424891,117.981211
Heze,1,0,0,35.26244,115.46336
Zibo,1,0,0,36.771219,117.875108
Hefei,10,0,0,31.790724,117.353913
Fuyang,7,0,0,33.07351,115.734026
Bozhou,4,0,0,33.782924,115.812814
Anqing,4,0,0,31.859252,117.216005
Maanshan,4,0,0,31.659719,118.554558
Tongling,3,0,0,30.952359,117.918516
Lu An,2,0,0,31.753039,116.302573
Chuzhou,2,0,0,32.310209,118.270828
Chizhou,1,0,0,30.514086,117.508478
Bengbu,1,0,0,33.023815,117.388184
