city,province_cn,city_cn,case,death,cure,lat,lon,province
Changsha,湖南,长沙,205,0,27,28.322759,113.224946,Hunan
Yueyang,湖南,岳阳,115,1,10,29.178499,113.237527,Hunan
Huaihua,湖南,怀化,39,0,15,27.612024,109.945539,Hunan
Loudi,湖南,娄底,64,0,8,27.766945,112.004619,Hunan
Yongzhou,湖南,永州,40,0,10,26.560382,111.621586,Hunan
Yiyang,湖南,益阳,46,0,10,28.588088,112.366547,Hunan
Hengyang,湖南,衡阳,45,0,14,27.109626,112.351579,Hunan
Changde,湖南,常德,66,0,15,28.995243,111.747796,Hunan
Xiangtan,湖南,湘潭,28,0,10,27.669223,112.788805,Hunan
Shaoyang,湖南,邵阳,87,0,18,26.984977,111.332372,Hunan
Zhuzhou,湖南,株洲,58,0,9,27.535936,113.153348,Hunan
Chenzhou,湖南,郴州,32,0,8,25.773515,113.051002,Hunan
Xiangxi,湖南,湘西州,8,0,3,28.26,109.69,Hunan
Zhangjiajie,湖南,张家界,5,0,2,29.13,110.48,Hunan
Wuhan,湖北,武汉,14982,608,877,30.581084,114.3162,Hubei
Huanggang,湖北,黄冈,2141,43,137,30.518802,114.949569,Hubei
Xiaogan,湖北,孝感,2436,29,45,30.944617,114.016142,Hubei
Xianning,湖北,咸宁,493,4,23,29.85465,114.391867,Hubei
Jingmen,湖北,荆门,663,19,48,30.932878,112.193923,Hubei
Suizhou,湖北,随州,984,9,23,31.890024,113.294246,Hubei
Jingzhou,湖北,荆州,997,13,34,30.396103,112.099857,Hubei
Huangshi,湖北,黄石,760,2,53,30.218698,114.903009,Hubei
Yichang,湖北,宜昌,711,8,36,30.979971,111.310649,Hubei
Shiyan,湖北,十堰,467,0,40,32.66384,110.717401,Hubei
Enshi,湖北,恩施,171,0,20,32,109.5,Hubei
Xiantao,湖北,仙桃,379,5,16,30.293966,113.387448,Hubei
Tianmen,湖北,天门,197,10,1,30.649047,113.12623,Hubei
Xiangyang,湖北,襄阳,988,7,40,32.229169,112.250093,Hubei
Ezhou,湖北,鄂州,639,21,42,30.320603,114.901016,Hubei
Shennongjia,湖北,神农架,10,0,2,31.74,110.684,Hubei
Qianjiang,湖北,潜江,82,2,2,30.4,112.89,Hubei
Xinyang,河南,信阳,205,0,24,32.30784,114.139086,Henan
Zhengzhou,河南,郑州,126,0,31,34.759791,113.62,Henan
Nanyang,河南,南阳,133,2,16,33.009839,112.484267,Henan
Zhumadian,河南,驻马店,116,0,5,32.968357,114.00829,Henan
Zhoukou,河南,周口,62,0,10,33.630876,114.65795,Henan
Xinxiang,河南,新乡,44,0,5,35.3,113.92,Henan
Anyang,河南,安阳,44,0,3,36.056025,114.256604,Henan
Luohe,河南,漯河,30,0,4,33.534755,113.923601,Henan
Sanmenxia,河南,三门峡,7,0,3,34.771778,111.281295,Henan
Gongyi,河南,巩义,2,0,0,34.703799,113.03959,Henan
Pingdingshan,河南,平顶山,50,1,6,33.712341,113.278189,Henan
Luoyang,河南,洛阳,25,0,2,34.638792,112.467093,Henan
Shangqiu,河南,商丘,82,0,5,34.42,115.65,Henan
Kaifeng,河南,开封,24,0,1,34.798,114.346,Henan
Hebi,河南,鹤壁,17,0,0,35.74,114.295,Henan
Xuchang,河南,许昌,31,0,2,34,113.8,Henan
Jiaozuo,河南,焦作,24,0,1,35.2,113.257,Henan
Gushi,河南,固始,1,0,0,32.136944,115.709743,Henan
Puyang,河南,濮阳,7,0,0,35.76,115.02,Henan
Huaxian,河南,滑县,1,0,0,35.57,114.52,Henan
Changyuan,河南,长垣,2,0,0,35.21,114.66,Henan
Yongcheng,河南,永城,7,0,0,33.94,116.367,Henan
Jiyuan,河南,济源,4,0,0,35.1,112.58,Henan
Shenzhen,广东,深圳,364,0,39,22.606981,114.278483,Guangdong
Guangzhou,广东,广州,304,0,27,23.446661,113.220176,Guangdong
Zhuhai,广东,珠海,83,0,4,22.047215,113.41759,Guangdong
Foshan,广东,佛山,65,0,4,22.824523,112.683258,Guangdong
Huizhou,广东,惠州,47,0,1,23.163063,114.485898,Guangdong
Yangjiang,广东,阳江,13,0,1,21.762804,111.930036,Guangdong
Shaoguan,广东,韶关,6,0,1,24.919162,113.57745,Guangdong
Zhanjiang,广东,湛江,21,0,6,21.0941,110.338022,Guangdong
Zhongshan,广东,中山,51,0,11,22.545178,113.42206,Guangdong
Zhaoqing,广东,肇庆,14,1,1,23.208968,112.625249,Guangdong
Qingyuan,广东,清远,10,0,3,23.625856,113.114585,Guangdong
Dongguan,广东,东莞,58,0,1,23.043024,113.763434,Guangdong
Shantou,广东,汕头,25,0,3,23.532997,116.814808,Guangdong
Shanwei,广东,汕尾,5,0,1,22.8,115.38,Guangdong
Meizhou,广东,梅州,13,0,4,24.3,116.119,Guangdong
Jieyang,广东,揭阳,7,0,1,23.53,116.34,Guangdong
Heyuan,广东,河源,3,0,0,23.74,114.69,Guangdong
Maoming,广东,茂名,9,0,1,21.665,110.92,Guangdong
Jiangmen,广东,江门,17,0,1,22.57,113.079,Guangdong
Chaozhou,广东,潮州,5,0,0,23.656,116.62,Guangdong
Taizhou,浙江,台州,138,0,25,28.548659,121.450242,Zhejiang
Hangzhou,浙江,杭州,165,0,29,30.38812,119.998089,Zhejiang
Wenzhou,浙江,温州,448,0,70,27.972177,120.558404,Zhejiang
Ningbo,浙江,宁波,146,0,13,29.785459,121.537835,Zhejiang
Jiaxing,浙江,嘉兴,38,0,1,30.777679,120.691907,Zhejiang
Shaoxing,浙江,绍兴,38,0,8,29.968789,120.572451,Zhejiang
Zhoushan,浙江,舟山,7,0,5,29.871101,122.278765,Zhejiang
Jinhua,浙江,金华,53,0,13,29.155526,119.809227,Zhejiang
Quzhou,浙江,衢州,15,0,3,28.941983,118.939044,Zhejiang
Lishui,浙江,丽水,17,0,5,28.48,119.921,Zhejiang
Huzhou,浙江,湖州,10,0,1,30.89,120.1,Zhejiang
Wanzhou,重庆,万州,84,1,5,30.710054,108.413439,Chongqing
Changshou,重庆,长寿,15,0,2,29.960491,107.146615,Chongqing
Kaizhou,重庆,开州,18,0,2,31.2,108.4,Chongqing
Yongchuan,重庆,永川,5,0,1,29.296488,105.880358,Chongqing
Zhongxian,重庆,忠县,16,0,3,30.342003,107.921738,Chongqing
Wushan,重庆,巫山,8,0,4,31.121152,109.908611,Chongqing
Shizhu,重庆,石柱,12,0,0,29.9,108,Chongqing
Chongqing,重庆,重庆市区,99,1,3,29.59,106.54,Chongqing
Yubei,重庆,渝北,12,0,2,29.816264,106.753799,Chongqing
Dianjiang,重庆,垫江,19,0,1,30.259498,107.444445,Chongqing
Yunyang,重庆,云阳,20,0,7,31.042409,108.863186,Chongqing
Wuxi,重庆,巫溪,12,0,1,31.509161,109.360531,Chongqing
Hechuan,重庆,合川,17,0,1,30.118708,106.318029,Chongqing
Bishan,重庆,璧山,8,0,0,29.5,106.17,Chongqing
Fuling,重庆,涪陵,3,0,0,29.664671,107.3408,Chongqing
Fengjie,重庆,奉节,14,0,1,30.958553,109.355667,Chongqing
Xiushan,重庆,秀山,1,0,1,28.38,109.06,Chongqing
Liangping,重庆,梁平,4,0,0,30.65,107.8,Chongqing
Chengkou,重庆,城口,2,0,1,31.888131,108.741855,Chongqing
Dazu,重庆,大足,10,0,0,29.714,105.72,Chongqing
Fengdu,重庆,丰都,9,0,1,29.890596,107.837517,Chongqing
Qianjiang,重庆,黔江,2,0,0,29.53,108.76,Chongqing
Wansheng,重庆,万盛,1,0,0,28.962248,106.924888,Chongqing
Tongnan,重庆,潼南,13,0,0,30.19,105.84,Chongqing
Tongliang,重庆,铜梁,8,0,0,29.85,106.05,Chongqing
Qijiang,重庆,綦江,15,0,0,29.03,106.64,Chongqing
Jiangjin,重庆,江津,4,0,1,29.28,106.26,Chongqing
Banan,重庆,巴南,3,0,0,29.37,106.52,Chongqing
Wulong,重庆,武隆,1,0,0,29.33,107.75,Chongqing
Youyang,重庆,酉阳,1,0,0,28.844414,108.763426,Chongqing
Rongchang,重庆,荣昌,8,0,0,29.422,105.61,Chongqing
Pengshui,重庆,彭水,2,0,0,29.293585,108.165373,Chongqing
Beijing,北京,北京市区,211,1,29,39.92,116.46,Beijing
Changping,北京,昌平,17,0,0,40.221724,116.216456,Beijing
Tongzhou,北京,通州,15,0,0,32.081032,121.028859,Beijing
Daxing,北京,大兴,34,0,2,39.73,116.33,Beijing
Shunyi,北京,顺义,9,0,0,40.154951,116.728229,Beijing
Mentougou,北京,门头沟,3,0,0,39.94,116.1,Beijing
Fangshan,北京,房山,14,0,0,39.744,116.134254,Beijing
Yanqing,北京,延庆,1,0,0,40.4565,115.971,Beijing
Huairou,北京,怀柔,7,0,0,40.315,116.626,Beijing
Shanghai,上海,上海,292,1,41,31.2,121.560642,Shanghai
Linyi,山东,临沂,40,0,3,35.127031,118.517311,Shandong
Tsingtao,山东,青岛,46,0,7,36.284247,120.346326,Shandong
Weihai,山东,威海,33,0,5,37.399344,122.152075,Shandong
Rizhao,山东,日照,15,0,2,35.469377,119.377852,Shandong
Jining,山东,济宁,38,0,7,35.380135,116.572199,Shandong
Jinan,山东,济南,42,0,3,36.42857,116.803552,Shandong
Dezhou,山东,德州,29,0,4,37.457437,116.332912,Shandong
Weifang,山东,潍坊,31,0,0,36.691227,119.196972,Shandong
Yantai,山东,烟台,35,0,2,37.407476,121.451535,Shandong
Liaocheng,山东,聊城,27,0,1,36.45583,115.907706,Shandong
Binzhou,山东,滨州,11,0,4,37.424891,117.981211,Shandong
Heze,山东,菏泽,14,0,3,35.26244,115.46336,Shandong
Zibo,山东,淄博,15,0,1,36.771219,117.875108,Shandong
Zaozhuang,山东,枣庄,20,0,0,34.82,117.31,Shandong
Tai An,山东,泰安,20,0,1,36.189,117.1,Shandong
Hefei,安徽,合肥,136,0,11,31.790724,117.353913,Anhui
Fuyang,安徽,阜阳,118,0,11,33.07351,115.734026,Anhui
Bozhou,安徽,亳州,87,0,5,33.782924,115.812814,Anhui
Anqing,安徽,安庆,75,0,6,31.859252,117.216005,Anhui
Maanshan,安徽,马鞍山,31,0,2,31.659719,118.554558,Anhui
Tongling,安徽,铜陵,24,0,7,30.952359,117.918516,Anhui
Lu An,安徽,六安,54,0,2,31.753039,116.302573,Anhui
Chuzhou,安徽,滁州,11,0,2,32.310209,118.270828,Anhui
Chizhou,安徽,池州,12,0,1,30.514086,117.508478,Anhui
Bengbu,安徽,蚌埠,115,1,1,33.023815,117.388184,Anhui
Wuhu,安徽,芜湖,29,0,3,31.191699,118.532462,Anhui
Huangshan,安徽,黄山,9,0,1,29.7,118.314,Anhui
Huaibei,安徽,淮北,23,0,1,33.94,116.9,Anhui
Huainan,安徽,淮南,22,0,3,32.58,117,Anhui
Suzhou,安徽,宿州,28,0,1,33.639,116.96,Anhui
Susong,安徽,宿松,6,0,0,30.16,116.131,Anhui
Xuancheng,安徽,宣城,5,0,2,30.92,118.8,Anhui
Ganzhou,江西,赣州,69,0,2,25.838711,114.937365,Jiangxi
Fuzhou,江西,抚州,63,0,7,27.924732,116.362974,Jiangxi
Shangrao,江西,上饶,98,0,7,28.40568,117.944367,Jiangxi
Yichun,江西,宜春,74,0,6,27.839383,114.290358,Jiangxi
Nanchang,江西,南昌,179,0,27,28.620772,116.071261,Jiangxi
Pingxiang,江西,萍乡,24,0,1,27.53371,113.739818,Jiangxi
Jiujiang,江西,九江,100,0,6,29.64023,115.842035,Jiangxi
Ji An,江西,吉安,17,0,1,27.160925,114.960437,Jiangxi
Xinyu,江西,新余,100,0,13,27.850578,115.007851,Jiangxi
Jingdezhen,江西,景德镇,5,0,1,29.303231,117.234119,Jiangxi
Yingtan,江西,鹰潭,11,0,1,28.261751,117.023752,Jiangxi
Guilin,广西,桂林,29,0,5,25.112806,110.371485,Guangxi
Beihai,广西,北海,33,0,3,21.574915,109.422489,Guangxi
Liuzhou,广西,柳州,20,0,5,24.471743,109.413915,Guangxi
Hechi,广西,河池,19,1,0,24.660762,107.873444,Guangxi
Wuzhou,广西,梧州,5,0,3,23.5602,111.189914,Guangxi
Baise,广西,百色,3,0,0,23.941866,106.505596,Guangxi
Fangchenggang,广西,防城港,16,0,1,21.662036,108.449166,Guangxi
