,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
1,长沙,中国湖南,Changsha,Hunan China,28.322759,113.224946,242,2,240,0
2,岳阳,中国湖南,Yueyang,Hunan China,29.178499,113.237527,156,1,155,0
3,怀化,中国湖南,Huaihua,Hunan China,27.612024,109.945539,40,0,40,0
4,娄底,中国湖南,Loudi,Hunan China,27.766945,112.004619,76,0,76,0
5,永州,中国湖南,Yongzhou,Hunan China,26.560382,111.621586,44,0,44,0
6,益阳,中国湖南,Yiyang,Hunan China,28.588088,112.366547,60,0,60,0
7,衡阳,中国湖南,Hengyang,Hunan China,27.109626,112.351579,48,0,48,0
8,常德,中国湖南,Changde,Hunan China,28.995243,111.747796,82,0,82,0
9,湘潭,中国湖南,Xiangtan,Hunan China,27.669223,112.788805,36,0,36,0
10,邵阳,中国湖南,Shaoyang,Hunan China,26.984977,111.332372,102,1,101,0
11,株洲,中国湖南,Zhuzhou,Hunan China,27.535936,113.153348,80,0,80,0
12,郴州,中国湖南,Chenzhou,Hunan China,25.773515,113.051002,39,0,39,0
13,湘西自治州,中国湖南,Xiangxi,Hunan China,28.26,109.69,8,0,8,0
14,张家界,中国湖南,Zhangjiajie,Hunan China,29.13,110.48,5,0,5,0
15,武汉,中国湖北,Wuhan,Hubei China,30.581084,114.3162,49995,2446,36465,11084
16,黄冈,中国湖北,Huanggang,Hubei China,30.518802,114.949569,2907,125,2730,52
17,孝感,中国湖北,Xiaogan,Hubei China,30.944617,114.016142,3518,126,3237,155
18,咸宁,中国湖北,Xianning,Hubei China,29.85465,114.391867,836,14,818,4
19,荆门,中国湖北,Jingmen,Hubei China,30.932878,112.193923,928,39,860,29
20,随州,中国湖北,Suizhou,Hubei China,31.890024,113.294246,1307,45,1192,70
21,荆州,中国湖北,Jingzhou,Hubei China,30.396103,112.099857,1580,50,1474,56
22,黄石,中国湖北,Huangshi,Hubei China,30.218698,114.903009,1015,38,943,34
23,宜昌,中国湖北,Yichang,Hubei China,30.979971,111.310649,931,36,858,37
24,十堰,中国湖北,Shiyan,Hubei China,32.66384,110.717401,672,8,629,35
25,恩施,中国湖北,Enshi,Hubei China,32,109.5,252,6,233,13
26,仙桃,中国湖北,Xiantao,Hubei China,30.293966,113.387448,575,22,520,33
27,天门,中国湖北,Tianmen,Hubei China,30.649047,113.12623,496,15,476,5
28,襄阳,中国湖北,Xiangyang,Hubei China,32.229169,112.250093,1175,38,1115,22
29,鄂州,中国湖北,Ezhou,Hubei China,30.320603,114.901016,1394,57,1212,125
30,神农架,中国湖北,Shennongjia,Hubei China,31.74,110.684,11,0,11,0
31,黔江,中国湖北,Qianjiang,Hubei China,30.4,112.89,198,9,172,17
32,信阳,中国河南,Xinyang,Henan China,32.30784,114.139086,274,2,272,0
33,郑州,中国河南,Zhengzhou,Henan China,34.759791,113.62,157,5,152,0
34,南阳,中国河南,Nanyang,Henan China,33.009839,112.484267,156,3,153,0
35,驻马店,中国河南,Zhumadian,Henan China,32.968357,114.00829,139,0,139,0
36,周口,中国河南,Zhoukou,Henan China,33.630876,114.65795,76,1,75,0
37,新乡,中国河南,Xinxiang,Henan China,35.3,113.92,57,3,54,0
38,安阳,中国河南,Anyang,Henan China,36.056025,114.256604,53,0,53,0
39,漯河,中国河南,Luohe,Henan China,33.534755,113.923601,35,0,35,0
40,三门峡,中国河南,Sanmenxia,Henan China,34.771778,111.281295,7,1,6,0
41,巩义,中国河南,Gongyi,Henan China,34.703799,113.03959,NA,NA,NA,NA
42,平顶山,中国河南,Pingdingshan,Henan China,33.712341,113.278189,58,1,57,0
43,洛阳,中国河南,Luoyang,Henan China,34.638792,112.467093,31,1,30,0
44,商丘,中国河南,Shangqiu,Henan China,34.42,115.65,91,3,88,0
45,开封,中国河南,Kaifeng,Henan China,34.798,114.346,26,0,26,0
46,鹤壁,中国河南,Hebi,Henan China,35.74,114.295,19,0,19,0
47,许昌,中国河南,Xuchang,Henan China,34,113.8,39,1,38,0
48,焦作,中国河南,Jiaozuo,Henan China,35.2,113.257,32,1,31,0
49,濮阳,中国河南,Puyang,Henan China,35.76,115.02,17,0,17,0
50,济源,中国河南,Jiyuan,Henan China,35.1,112.58,5,0,5,0
51,深圳,中国广东,Shenzhen,Guangdong China,22.606981,114.278483,420,3,395,22
52,广州,中国广东,Guangzhou,Guangdong China,23.446661,113.220176,347,1,330,16
53,珠海,中国广东,Zhuhai,Guangdong China,22.047215,113.41759,98,1,97,0
54,佛山,中国广东,Foshan,Guangdong China,22.824523,112.683258,84,0,78,6
55,惠州,中国广东,Huizhou,Guangdong China,23.163063,114.485898,62,0,62,0
56,阳江,中国广东,Yangjiang,Guangdong China,21.762804,111.930036,14,0,14,0
57,韶关,中国广东,Shaoguan,Guangdong China,24.919162,113.57745,10,1,9,0
58,湛江,中国广东,Zhanjiang,Guangdong China,21.0941,110.338022,22,0,22,0
59,中山,中国广东,Zhongshan,Guangdong China,22.545178,113.42206,68,0,64,4
60,肇庆,中国广东,Zhaoqing,Guangdong China,23.208968,112.625249,19,1,18,0
61,清远,中国广东,Qingyuan,Guangdong China,23.625856,113.114585,12,0,12,0
62,东莞,中国广东,Dongguan,Guangdong China,23.043024,113.763434,100,1,96,3
63,汕头,中国广东,Shantou,Guangdong China,23.532997,116.814808,25,0,24,1
64,汕尾,中国广东,Shanwei,Guangdong China,22.8,115.38,5,0,5,0
65,梅州,中国广东,Meizhou,Guangdong China,24.3,116.119,16,0,16,0
66,揭阳,中国广东,Jieyang,Guangdong China,23.53,116.34,8,0,8,0
67,河源,中国广东,Heyuan,Guangdong China,23.74,114.69,4,0,4,0
68,茂名,中国广东,Maoming,Guangdong China,21.665,110.92,14,0,14,0
69,江门,中国广东,Jiangmen,Guangdong China,22.57,113.079,23,0,23,0
70,潮州,中国广东,Chaozhou,Guangdong China,23.656,116.62,5,0,5,0
71,泰州,中国浙江,Taizhou,Zhejiang China,28.548659,121.450242,37,0,37,0
72,杭州,中国浙江,Hangzhou,Zhejiang China,30.38812,119.998089,181,0,179,2
73,温州,中国浙江,Wenzhou,Zhejiang China,27.972177,120.558404,504,1,501,2
