cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
武汉,12358,49991,0,35197,2436
孝感,188,3518,0,3204,126
鄂州,155,1394,0,1184,55
随州,81,1307,0,1181,45
荆州,67,1580,0,1464,49
黄冈,62,2907,0,2720,125
荆门,50,928,0,839,39
宜昌,48,931,0,847,36
黄石,39,1015,0,938,38
十堰,38,672,0,626,8
仙桃,33,575,0,520,22
襄阳,25,1175,0,1112,38
恩施州,9,252,0,236,7
潜江,7,198,0,182,9
咸宁,6,836,0,816,14
天门,5,496,0,476,15
神农架林区,0,11,0,11,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
朝阳区,72,72,0,0,0
海淀区,63,63,0,0,0
西城区,53,53,0,0,0
丰台区,40,43,0,3,0
大兴区,23,39,0,16,0
外地来京人员,23,25,0,2,0
境外输入人员,21,21,0,0,0
昌平区,19,29,0,10,0
通州区,18,19,0,1,0
房山区,13,16,0,3,0
东城区,13,14,0,1,0
石景山区,13,14,0,1,0
顺义区,10,10,0,0,0
怀柔区,7,7,0,0,0
密云区,7,7,0,0,0
门头沟区,1,3,0,2,0
延庆区,1,1,0,0,0
待明确地区,-311,0,0,303,8
香港,53,131,0,75,3
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
深圳,25,420,0,392,3
广州,20,347,0,326,1
佛山,6,84,0,78,0
中山,4,68,0,64,0
东莞,3,100,0,96,1
汕头,1,25,0,24,0
珠海,0,98,0,97,1
惠州,0,62,0,62,0
江门,0,23,0,23,0
湛江,0,22,0,22,0
肇庆,0,19,0,18,1
梅州,0,16,0,16,0
阳江,0,14,0,14,0
茂名,0,14,0,14,0
清远,0,12,0,12,0
韶关,0,10,0,9,1
揭阳,0,8,0,8,0
汕尾,0,5,0,5,0
潮州,0,5,0,5,0
河源,0,4,0,4,0
待明确地区,-7,0,0,7,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
境外输入人员,36,36,0,0,0
定西,1,9,0,8,0
兰州,0,36,0,34,2
天水,0,12,0,12,0
平凉,0,9,0,9,0
甘南,0,8,0,8,0
白银,0,4,0,4,0
陇南,0,4,0,4,0
庆阳,0,3,0,3,0
临夏,0,3,0,3,0
张掖,0,2,0,2,0
金昌,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
成都,26,144,0,115,3
巴中,3,24,0,21,0
甘孜州,2,78,0,76,0
绵阳,2,22,0,20,0
达州,1,42,0,41,0
广安,1,30,0,29,0
眉山,1,8,0,7,0
南充,0,39,0,39,0
泸州,0,24,0,24,0
内江,0,22,0,22,0
德阳,0,18,0,18,0
遂宁,0,17,0,17,0
攀枝花,0,16,0,16,0
凉山州,0,13,0,13,0
宜宾,0,12,0,12,0
自贡,0,9,0,9,0
雅安,0,7,0,7,0
广元,0,6,0,6,0
资阳,0,4,0,4,0
乐山,0,3,0,3,0
阿坝州,0,1,0,1,0
地区,28,49,0,20,1
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
哈尔滨,8,198,0,186,4
双鸭山,2,52,0,47,3
绥化,2,47,0,41,4
齐齐哈尔,2,43,0,40,1
大庆,2,26,0,23,1
牡丹江,2,15,0,13,0
鸡西,1,46,0,45,0
七台河,1,17,0,16,0
黑河,1,14,0,13,0
鹤岗,1,5,0,4,0
大兴安岭,1,3,0,2,0
佳木斯,0,15,0,15,0
伊春,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
境外输入人员,8,8,0,0,0
外地来沪人员,6,111,0,104,1
浦东新区,3,61,0,58,0
宝山区,2,21,0,19,0
嘉定区,2,9,0,7,0
徐汇区,1,18,0,17,0
静安区,1,16,0,15,0
黄浦区,1,6,0,5,0
闵行区,0,19,0,19,0
松江区,0,14,0,14,0
长宁区,0,13,0,13,0
普陀区,0,11,0,11,0
杨浦区,0,9,0,9,0
奉贤区,0,9,0,9,0
虹口区,0,7,0,7,0
青浦区,0,6,0,6,0
金山区,0,4,0,4,0
崇明区,0,4,0,4,0
待明确地区,-2,0,0,0,2
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
丽水,8,25,0,17,0
温州,2,504,0,501,1
杭州,2,169,0,167,0
嘉兴,2,45,0,43,0
湖州,2,12,0,10,0
绍兴,1,42,0,41,0
宁波,0,157,0,157,0
台州,0,146,0,146,0
金华,0,55,0,55,0
省十里丰监狱,0,36,0,36,0
衢州,0,14,0,14,0
舟山,0,10,0,10,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
济宁,7,260,0,253,0
德州,2,37,0,33,2
青岛,1,61,0,59,1
临沂,1,49,0,48,0
济南,1,47,0,46,0
淄博,1,30,0,28,1
境外输入人员,1,1,0,0,0
烟台,0,47,0,47,0
潍坊,0,44,0,44,0
威海,0,38,0,37,1
聊城,0,38,0,38,0
泰安,0,35,0,33,2
枣庄,0,24,0,24,0
菏泽,0,18,0,18,0
日照,0,16,0,16,0
滨州,0,15,0,15,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
丹东,4,11,0,7,0
大连,3,19,0,16,0
沈阳,2,28,0,26,0
葫芦岛,2,12,0,9,1
朝阳,1,6,0,5,0
锦州,0,12,0,12,0
盘锦,0,11,0,11,0
阜新,0,8,0,8,0
铁岭,0,7,0,7,0
鞍山,0,4,0,4,0
本溪,0,3,0,3,0
辽阳,0,3,0,3,0
营口,0,1,0,1,0
