place,case,county,state
"Snohomish, WA",20,Snohomish, WA
"Cook County, IL",19,Cook County, IL
"Orange County, CA",9,Orange County, CA
"Tempe, AZ",1,Tempe, AZ
"Los Angeles, CA",20,Los Angeles, CA
"Santa Clara, CA",31,Santa Clara, CA
"Boston, MA",2,Boston, MA
"San Benito, CA",3,San Benito, CA
"Madison County, WI",2,Madison County, WI
"San Diego, CA",2,San Diego, CA
"San Antonio, TX",3,San Antonio, TX
"Napa County, CA",1,Napa County, CA
"California, CA",1,California, CA
"Sacramento, CA",10,Sacramento, CA
"Solano County, CA",5,Solano County, CA
"Marin County , CA",1,Marin County , CA
"Washington County, OR",8,Washington County, OR
"King County, WA",58,King County, WA
"Rhode Island, RI",8,Rhode Island, RI
"Alameda County, CA",4,Alameda County, CA
"New York City, NY",32,New York City, NY
"Hillsborough County, FL",8,Hillsborough County, FL
"Grafton County, NH",4,Grafton County, NH
"San Mateo, CA",10,San Mateo, CA
"Sonoma County, CA",5,Sonoma County, CA
"Placer County, CA",4,Placer County, CA
"Norfolk County, MA",3,Norfolk County, MA
"Fulton County, GA",12,Fulton County, GA
"Maricopa County, AZ",5,Maricopa County, AZ
"Wake County, NC",8,Wake County, NC
"Berkeley, CA",1,Berkeley, CA
"Contra Costa County, CA",13,Contra Costa County, CA
"Westchester County, NY",25,Westchester County, NY
" Westchester County, NY",1, Westchester County, NY
"Fort Bend County, TX",4,Fort Bend County, TX
"Bergen County, NJ",7,Bergen County, NJ
"Grant County, WA",3,Grant County, WA
"Clark County, NV",4,Clark County, NV
"Williamson County, TN",4,Williamson County, TN
"Santa Rosa County, FL",1,Santa Rosa County, FL
"San Francisco, CA",11,San Francisco, CA
"Orange, CA",2,Orange, CA
"Nassau County, NY",16,Nassau County, NY
"Harris County, TX",11,Harris County, TX
" Summit County, CO",1, Summit County, CO
"Middlesex County, MA",11,Middlesex County, MA
"Montgomery County, MD",3,Montgomery County, MD
"Douglas County, CO",3,Douglas County, CO
"Norwell, MA",1,Norwell, MA
"Seattle, WA",1,Seattle, WA
"Delaware County, PA",6,Delaware County, PA
"Wayne County, PA",1,Wayne County, PA
"Chatham County, NC",2,Chatham County, NC
"Marion County, IN",5,Marion County, IN
"Floyd County, GA",5,Floyd County, GA
"Pinal County, AZ",3,Pinal County, AZ
"Wellesley, MA",1,Wellesley, MA
"Yolo County, CA",3,Yolo County, CA
"Camden County, NJ",3,Camden County, NJ
"Jefferson, WA",2,Jefferson, WA
"Ramsey County, MN",7,Ramsey County, MN
"Lexington, KY",1,Lexington, KY
"Denver County, CO",11,Denver County, CO
"Omaha, NE",1,Omaha, NE
"Tulsa County, OK",3,Tulsa County, OK
"El Paso County, CO",5,El Paso County, CO
"Kershaw County, SC",11,Kershaw County, SC
"Charleston County, SC",1,Charleston County, SC
"Honolulu, HI",4,Honolulu, HI
"Highlands Ranch, CO",1,Highlands Ranch, CO
"Eagle County, CO",9,Eagle County, CO
"Pierce County, WA",2,Pierce County, WA
"Broward County, FL",24,Broward County, FL
"Lee County, FL",5,Lee County, FL
"Davis County, UT",4,Davis County, UT
"Alameda, CA",4,Alameda, CA
"Rockland County, NY",10,Rockland County, NY
"Ventura County, CA",4,Ventura County, CA
"Cobb County, GA",10,Cobb County, GA
"Saratoga County, NY",4,Saratoga County, NY
"Clark, WA",4,Clark, WA
"Jackson County, OR",1,Jackson County, OR
"Klamath County, OR",1,Klamath County, OR
"Madera County, CA",1,Madera County, CA
"Charlotte County, FL",1,Charlotte County, FL
"Santa Cruz, CA",5,Santa Cruz, CA
"Gilroy, CA",1,Gilroy, CA
"Kittitas, WA",3,Kittitas, WA
"Berkshire County, MA",2,Berkshire County, MA
"Montgomery County, PA",13,Montgomery County, PA
"Johnson County, KS",6,Johnson County, KS
"Okaloosa County, FL",2,Okaloosa County, FL
