cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
武汉,35670,46607,0,8950,1987
孝感,2180,3465,0,1177,108
黄冈,1142,2904,0,1659,103
鄂州,873,1383,0,470,40
荆州,798,1574,0,734,42
随州,719,1303,0,551,33
襄阳,624,1174,0,521,29
宜昌,591,924,0,304,29
荆门,494,920,0,389,37
黄石,484,1005,0,491,30
咸宁,380,836,0,445,11
十堰,374,669,0,293,2
仙桃,286,573,0,268,19
天门,223,494,0,258,13
潜江,104,194,0,82,8
恩施州,101,251,0,146,4
神农架林区,1,11,0,10,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
深圳,165,417,0,249,3
广州,141,345,0,204,0
东莞,59,96,0,36,1
佛山,48,84,0,36,0
珠海,43,98,0,54,1
惠州,16,62,0,46,0
中山,15,66,0,51,0
江门,14,23,0,9,0
湛江,8,22,0,14,0
肇庆,8,19,0,10,1
茂名,7,14,0,7,0
梅州,5,16,0,11,0
汕头,4,25,0,21,0
阳江,4,14,0,10,0
韶关,4,10,0,6,0
揭阳,3,8,0,5,0
汕尾,3,5,0,2,0
河源,3,4,0,1,0
清远,2,12,0,10,0
潮州,1,5,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
温州,197,504,0,306,1
台州,48,146,0,98,0
宁波,36,157,0,121,0
省十里丰监狱,36,36,0,0,0
杭州,33,169,0,136,0
嘉兴,17,45,0,28,0
金华,16,55,0,39,0
绍兴,12,42,0,30,0
舟山,5,10,0,5,0
衢州,4,14,0,10,0
丽水,3,17,0,14,0
湖州,3,10,0,7,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
济宁,223,257,0,34,0
烟台,27,47,0,20,0
济南,23,47,0,24,0
潍坊,22,44,0,22,0
青岛,21,60,0,38,1
德州,20,37,0,15,2
威海,13,38,0,25,0
聊城,13,38,0,25,0
淄博,13,30,0,16,1
泰安,11,35,0,22,2
临沂,5,49,0,44,0
枣庄,5,24,0,19,0
日照,5,16,0,11,0
滨州,4,15,0,11,0
菏泽,1,18,0,17,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
信阳,81,274,0,191,2
郑州,46,157,0,111,0
南阳,28,155,0,124,3
周口,25,76,0,51,0
驻马店,18,139,0,121,0
商丘,14,91,0,74,3
平顶山,14,58,0,43,1
许昌,13,39,0,26,0
安阳,12,53,0,41,0
漯河,12,35,0,23,0
洛阳,12,31,0,18,1
开封,10,26,0,16,0
鹤壁,8,19,0,11,0
焦作,7,32,0,24,1
濮阳,7,17,0,10,0
新乡,6,57,0,48,3
济源,2,5,0,3,0
三门峡,0,7,0,6,1
待明确地区,-6,0,0,2,4
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
合肥,54,174,0,119,1
阜阳,51,155,0,104,0
蚌埠,42,160,0,113,5
亳州,27,108,0,81,0
六安,24,69,0,45,0
马鞍山,18,38,0,20,0
安庆,14,83,0,69,0
宿州,12,41,0,29,0
铜陵,11,29,0,18,0
淮北,10,27,0,17,0
淮南,9,27,0,18,0
芜湖,6,33,0,27,0
池州,4,17,0,13,0
滁州,4,13,0,9,0
黄山,3,9,0,6,0
宣城,2,6,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
长沙,88,242,0,152,2
岳阳,57,156,0,98,1
株洲,28,80,0,52,0
常德,20,82,0,62,0
娄底,20,76,0,56,0
邵阳,13,102,0,88,1
衡阳,10,48,0,38,0
湘潭,10,36,0,26,0
郴州,8,39,0,31,0
益阳,4,59,0,55,0
永州,2,43,0,41,0
怀化,1,40,0,39,0
湘西自治州,0,8,0,8,0
张家界,0,5,0,5,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
九江,56,118,0,62,0
南昌,45,229,0,184,0
上饶,26,123,0,97,0
宜春,22,106,0,84,0
赣州,22,76,0,53,1
新余,21,130,0,109,0
抚州,20,72,0,52,0
萍乡,17,33,0,16,0
吉安,10,22,0,12,0
鹰潭,8,18,0,10,0
景德镇,3,6,0,3,0
赣江新区,1,1,0,0,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
成都,62,143,0,78,3
甘孜州,51,69,0,18,0
达州,26,41,0,15,0
南充,17,39,0,22,0
